Bridle Path-Sunnybrook-York Mills,-79.371899,43.735914
Kingsway South,-79.507194,43.652674
Lawrence Park South,-79.411687,43.712137
Casa Loma,-79.410363,43.676843
Forest Hill North,-79.426376,43.705249
Forest Hill South,-79.412602,43.693232
St. Andrew-Windfields,-79.385534,43.754813
Bedford Park-Nortown,-79.416583,43.724525
Lawrence Park North,-79.388650,43.723786
Annex,-79.407585,43.669833
Wychwood,-79.431100,43.676790
Rosedale-Moore Park,-79.376318,43.687999
Princess-Rosethorn,-79.463398,43.680232
North Riverdale,-79.344910,43.678985
Mount Pleasant East,-79.384750,43.705087
Yonge-St. Clair,-79.394117,43.688098
Palmerston-Little Italy,-79.417477,43.659965
Playter Estates-Danforth,-79.358029,43.679279
Edenbridge-Humber Valley,-79.527974,43.667113
Trinity-Bellwoods,-79.417073,43.650068
South Parkdale,-79.442534,43.643832
Lansing-Westgate,-79.422560,43.758965
Humewood-Cedarvale,-79.428056,43.694479
Lambton Baby Point,-79.494292, 43.656042
Leaside,-79.367132,43.713115
The Beaches,-79.296693,43.667348
Runnymede-Bloor West Village,-79.477651,43.650863
Newtonbrook West,-79.417315,43.787068
Danforth,-79.307341,43.686952
Roncesvalles,-79.449068,43.646317
High Park North,-79.466831,43.657226
Yonge-Eglinton,-79.398642,43.706431
Bayview Woods-Steeles,-79.382515,43.794808
Blake-Jones,-79.338106,43.675863
East York,-79.341664,43.691201
Englemount-Lawrence,-79.435109,43.718053
Greenwood-Coxwell,-79.322816,43.672055
High Park-Swansea,-79.465258,43.653556
Willowdale West,-79.419750,43.771171
Banbury-Don Mills,-79.366359,43.749115
Oakwood-Vaughan,-79.440786,43.692594
Highland Creek,-79.173392,43.790121
Maple Leaf,-79.479429,43.714802
Broadview North,-79.353278,43.688529
Rouge E10,-79.165842,43.804929
Rustic,-79.498195,43.710747
Parkwoods-Donalda,-79.326440,43.752777
Newtonbrook East,-79.417315,43.787068
Willowridge-Martingrove-Richview,-79.569572,43.676158
Woodbine Corridor,-79.309937,43.692177
South Riverdale,-79.350340,43.660603
Woodbine-Lumsden,-79.309937,43.692177
Corso Italia-Davenport,-79.446128, 43.677370
Danforth Village-East York,-79.296554,43.689136
Stonegate-Queensway,-79.484345,43.630505
Dovercourt-Wallace Emerson-Junction,-79.440595,43.668401
Cliffcrest,-79.226329,43.724917
Bathurst Manor,-79.456898,43.762819
Junction Area,-79.472133,43.665509
Cabbagetown-South St. James Town,-79.367675,43.658479
Dufferin Grove,-79.428191,43.655833
O'Connor-Parkview,-79.310207,43.706077
East End-Danforth,-79.309632,43.678182
Bay Street Corridor,-79.386705,43.664166
Caledonia-Fairbank,-79.455157,43.689901
Willowdale East,-79.419750,43.771171
Humberlea-Pelmo Park W4,-79.533217,43.721319
Centennial Scarborough,-79.148327,43.781684
Birchcliffe-Cliffside,-79.244001,43.712217
University,-79.387101,43.652420
Alderwood,-79.545238,43.601710
Weston-Pellam Park,-79.457731,43.671630
Humber Heights,-79.527033,43.696358
Long Branch,-79.538164,43.593421
Pleasant View,-79.333399,43.784527
Hillcrest Village,-79.354690,43.804877
Waterfront Communities C8,-79.377921,43.641648
Clairlea-Birchmount,-79.282842,43.716205
New Toronto,-79.505257,43.600778
Clanton Park,-79.446661,43.748746
Steeles,-79.314549,43.816214
Rouge E11,-79.165842,43.804929
Bayview Village,-79.382758,43.778243
Moss Park,-79.372602,43.654789
Briar Hill-Belgravia,-79.452402,43.703714
Thistletown-Beaumonde Heights,-79.571267,43.742903
Markland Wood,-79.570763,43.633569
Don Valley Village,-79.353003,43.787359
Wexford-Maryvale,-79.300754,43.761271
Beechborough-Greenbrook,-79.474795,43.694321
Church-Yonge Corridor,-79.387839,43.672858
Mount Pleasant West,-79.394420,43.704851
Waterfront Communities C1,-79.377921, 43.641648
Eringate-Centennial-West Deane,-79.583317,43.659908
Keelesdale-Eglinton West,-79.470432,43.685465
Oakridge,-79.274886,43.697288
Rockcliffe-Smythe,-79.489372,43.676906
Guildwood,-79.192777,43.752743
Islington-City Centre West,-79.543484,43.630916
Humber Summit,-79.571785,43.760100
Tam O'Shanter-Sullivan,-79.298114,43.781059
Victoria Village,-79.312418,43.735735
Downsview-Roding-CFB,-79.482061,43.726699
North St. James Town,-79.373306,43.670867
Niagara,-79.408493,43.637383
Mimico,-79.495697,43.614627
Brookhaven-Amesbury,-79.493829,43.696949
Bendale,-79.248935,43.765434
L'Amoreaux,-79.315774,43.796761
Milliken,-79.297312,43.825998
Kensington-Chinatown,-79.400403,43.653943
Little Portugal,-79.430763,43.647595
Rexdale-Kipling,-79.570600,43.719857
Etobicoke West Mall,-79.568773,43.645115
Westminster-Branson,-79.451092,43.785580
Kingsview Village-The Westway,-79.551914,43.700504
Crescent Town,-79.293736,43.695981
Mount Dennis,-79.488781, 43.685477
Henry Farm,-79.346524,43.769583
Humbermede,-79.539408,43.738994
Agincourt North,-79.266502,43.808053
York University Heights,-79.477446,43.766449
Morningside,-79.204997,43.782666
Woburn,-79.231728,43.776470
Ionview,-79.273900,43.730824
Glenfield-Jane Heights,-79.304340,43.706822
Regent Park,-79.362044,43.660323
Agincourt South-Malvern West,-79.242296,43.789964
West Hill,-79.182803,43.769163
Yorkdale-Glen Park,-79.453975,43.708236
Dorset Park,-79.281111,43.765831
Kennedy Park,-79.253976,43.724878
Eglinton East,-79.246228, 43.737145
Scarborough Village,-79.217099,43.738792
Malvern,-79.221690,43.809160
Weston,-79.516264,43.700167
West Humber-Clairville,-79.625844,43.735649
Humberlea-Pelmo Park W5,-79.533217,43.721319
Mount Olive-Silverstone-Jamestown,-79.589238,43.741149
Elms-Old Rexdale,-79.548860,43.723712
Flemingdon Park,-79.331390,43.718373
Thorncliffe Park,-79.343597,43.707484
Black Creek,-79.486948,43.697015